	black	white	red	yellow	green	blue	brown	grey	orange
Djabugay	bugaa	gaba	galbal[15]	marrga-marrga	gurri	ngurbam	gaya		
Djapu	mol	gaywaraŋu[16]	miku(')[17]	buthalak	gurinyguriny		guṉḏirr(')	djirrtjirr	
Djinang	mul	bardjining	[18]	butjalak, guringguringgili[19]	gumiring	marri djayaḻ mulngi			guringguringgili
Durubul	gurun	buba	gudjin[20]						
Duungidjawu	miyarr	muranjŋa	guyiŋ						
EasternArrernte	urrperle, urterrpe	arrerlkeme, mperlkere[21]	athekeke, athetheke, ntere-ntere, rntere-rntere	arlperrtye[22]	atherrke-atherrke[23]	alkere-alkere, urite, 	aturrpe, urlpmernte-urlpmernte	mpwelkere	utyenye
Gamilaraay	buluuy	balaa	guwi	[24]	gawarrawarr	gawarawa	dhuRa	dhadhaal	pampul
Gangulu	guradgurad	budhu/budha	guma		gawayi	midha	nayinayi		
Garlali	thaɹagurru	kupa	diyaɾdiyarri		kanda				
Githabul	ŋagu	gibira	gudhihn	widhagaŋ	gaygum			gidhur	baraŋayil
Golpa	gurrŋan'	gaywaraŋu	gulaŋ-gulaŋ	buthalak	milkuminy[25]	mulkuminy	rawak 		
GoorengGooreng	noolgee	bural	gutchoo						
GuguBadhun	midhu	gurrgul	garrngul						
Gumatj	gurrngan’	gaywaraŋu	miku’	ḏuŋgul	milkuminy	borpul	ḻarraṉi(')	djirrtjirr	
Gumbaynggir	guuru[26]	garaaban	muluurr, mulurr-mulurr[27]						
Gundungurra	buda-rin	gara-ng	gumal	bíllin	yama-ying		dúrung		
Gunggari	gubur gubar	guda guda	gudi gudi	yala					
Gunya	gudul	budhabudha	gudhigudhi		gurn.ga[28]				
Gupapuyngu	gurrngan’	gaḻkarra	ratjpa	ḏuŋgul	dhulmu		guṉḏirr(')	djirrtjirr	
Gurindji	mumpuwung	pilkiya	kikik	karrikunkarrikun	wurrkal	wurrkawurrkal			kuntarrikuntarri
GuuguYimidhirr	munyi	bilbin	dieni	barga		dallon		waitchawaitcha	
Guwamu	guul	budhabudha	gudhigudhi	gudhirdgudgird[29]		dhugandu		guba	
Guwar	winjulum	buba	gurara						
Guyani	peimba or blowarn	kupa	daltatji	barru	kaljika				
Ikarranggal	boolpah	poteerah	etjelwetjen		kooina	boolpol		olpo	
Injinoo	unma (Ang/At/Y),[30] manarra	wunawanthinhu, wunawanthu (At), akarri	uchurrin, lukukuyn						
Iyora	nand	(taboa)[32]	må-dyal[33]		bul-ga				
Jaru	guruuguruu	labawu	girrgirr	gundul	wurrgal wurrgal				
Jiwarli	maru	wirntikirli	martamarta						
Jiwarliny	kurdu	jirnda	[34]						
Kalkatungu	marrtyin[35]	purlupurlu	kurrikurri	parruparru	yalapuyalapu				
Karajarri	wangu	lali	wilkarrwilkarr	kumpari	pitily			papakuna	
Kariyarra	warruwarru	mirtamirta	martamarta	bilyarrbilyarr	barlarra				
Karree	budu-lång	ba-gur	dyir-radyi–dyir-radyi						
Kartujarra	marumaru	pirlpirl	micimici		yukuriyukuri				
Katthang	But-ton	Bur-ra	Bur-rung	Bil-lin	Gir-rung		Doo-roong		
Kaurna	pulyu-Na	perkandi	purnkipurnki	wirranniranna	karalta	karalta	purnkipurnki		
Kaytetye	enngwemernte	arltere	arrme	arrkite	ahereknge	alkere apanpe	amel-amele	arrelkere	
Keerraywoorroong	meeinju wertiin	tarndeetch	worrowity		kuumakuurn knorr	ngoom-brety	worroweely	napkuyeetch	
KokoBera	ngolthórr	pvrángvrr	purrmépurrmvn						
KuguNganhcara	ngunhca[37]	pathca	ngolpolintha						
Kukatj	punther	pijer	[38]	thakeraker	purken			kunpir	
Kukatja	maru	lipi	rangkarr(pa)	gundari	yukuri	tiltil(pa)		yintji	
Kungadutyi	[39]	kupa/kupi(ya) (kupia)	pitapita						
Kungkari	marnkirl		rikirikiridi 						
Kunjen	ocor	arrp3r	alukariy		olmbor			eral	
Kurnu	karkreeka	bi-chooka			noonbaraka	ko-kreeka[40]		goorra	
Kurrama	warru	jirtpa	marda-marda[41]		patharra			jiwarra	
Kurtjar	lthoorgh	ghithithuang	ghanhichargh		maard, ghiyerk		mbaʀ	rthuaalgh	
KuukThaayorre	ngotan	kermpl[42]	kamkamu	kacar	mewer				
KuukuYau	thungku	pulpu	pulpanchi		yalu				
Linngithigh	ngko(δro)	iyin			ayam				
Mabuiag	kubikub	bolad-gamul	giitad-gamul	karad-gamul	buradunga	boad-gamul	buru-gamul	gwabagwabad-gamul	ar-kulkad-gamul
Malgana	madhara	wilidhi	maniwiri						
Malngin	ngijpurru, mumpu (paint), warrpalangin (paint?)	kalyji	ngurri (paint)						
Malyangapa	maRukatha	patjarka	parkarditjulu	Mal: pilthi	ngurru		muna		
Mangala	kurru	la:li	mirbal		bidilj				
Margany	gudul	bunduny	gudhigudhi		gurn.ga				
MartuWangka	maru-maru	ngintarlpa	miji-miji		yukuri-yukuri				
MaryRiverandBunyaBunyaCountry	mul’lu	ka’kal	bothar					gi’lan	
MathiMathi	wurrgirrim	[44]	dharla, dharlabil						
MayiKulan	marrtjin	punamu	paRul		kiltjan				
MayiKutuna	wupilkupil	parala	wurtikurti						
MayiThakurti	marrtjin	punaru[46]	kilkilkaRu ?						
MayiYapi	marrtjin	pulpu[47]	pathaRakuyn		kiltjan				
Mbabaram	arrngin	alngkwuri			anup				
Mbakwithi	rraw		tralawati	anhdhiki	thAEBi		ixiti		
Minjungbal		giba-ra	gudyin						
Mirniny	kartaya	ngirangira							
Mithaka	wityipaka[r]ni	warruputha	tyirtiti		kurkiRi				
Mudburra	mungarramungarra	liwakarra	pilyingpilyinga	tankurra	jayilyak				
Muruwari	karta	pulam-pulam	marrki-marrki	kurnan-kurnan	pampulkala	puluw[48]		puki	
Narungga	bulyu	malga							
Ngaanyatjarra	maru	pirntalpa	tjitirn-tjitirnpa	pirlka	kana				
Ngadjumaya	maŋuru	ŋiiraŋiira, ŋiiaŋiia	jurniŋ'jurniŋ'		t́iĺa	kui̱ale(r)i-			
Ngadjuri	murunga	wenda							
Ngaiawang	nimmimi	palgarinyi	kantukanturangko		komkomko		kaintyarru		
Ngamini	maru	purlu	maRadyi		kunakuna				
Ngarigu	dhagug	gurbid	ngayarr-ngayarr, ngayarr						
Ngarinyman	ngijburrang	wagi	win.gilyang	gundariny-marraj	wurrgal	ngawa-marraj	mungarrangarna		garrigun-marraj
Ngarla	warrukurla	mirta-mirta	miki[49]		patalyi	yalurnmarra		mirta	
Ngarluma	warru	mirdamirda	mardamarda	buthunguru	balharra	warruwarru		barragura	
Ngarrindjeri	kineman	balpi	kurunggulun		ngthummulun			kenk	milkurli
Ngawun	marrtjin	punaru							
NggoiMwoi	doondeen	kibbera	kudgeen						
Ngiyambaa	puluy	pangkapa	kirraparaay	kunayiŋkuna	kiityan	pulawi[50]	thakaŋaliya		
Ngunawal	buru-buraa	daguru-gurag	dhirrum dhirrum						
Nhanta	wurqarra	mini	marniwidi						
Nhirrpi	murrumurru		pidibidi		kurrgagurrarri				
Ntra’ngith	ʼɑ́ru	ƫɑwɑr	piwir[51]						
Nyamal	karlurru	rlali	picirripicirri		warrulywarruly				
Nyangumarta	kalarru, warrukurla[52]	larli-kata	pilyarri	kakirr	warruly		jungkarrjungkarr	mirta	kumparri, miling
Nyungar	kumma	tel	yurnin	yool-jie-ah	turtong	mu-yub‹rra	je-da-re	DJENDAL[53]	
Paakantyi	kukirika	paatyirka	ngalkina, ngalkirka	wapirka	nhumparka			kuRa	
Pakanh	nhowanhtha	motpo	ijam						
Panyjima	warru	jibarra	martamarta						
Parnkala	pimba	palkarra	pitara	palkurru	kalluru	karrenyerenye	pangkurriti	palkanyalla	
Payungu	kurluwa	jingkirl	kulhuwiyi		purrungukaya			piyarltyi[54]	
Pintupi-Luritja	maru, wurrpala, yalta	nimpilpa	tutu, yulpa	kantawarra	yintarra, yukiri	nganka, nguru, yikari, yilkari	tjitintjitinpa	wiri	
Pitjantjatjara	maṟu	piṟan(pa)	rituwanaringanyi	uṉṯaṉu	ukiṟi-ukiṟi				
PittaPitta	tyimpa	warrhaputha	kurrhikurrhi[55]		kalyirrhka				
Punthamara	muru muru	kup:a	marpila	pilta	kulkarra				
Purduna	kurluwa	jurlpil	kulhuwi						
Rirratjingu	gurrŋan'	gaywaraŋu, watharr	miku	buthalak, gangul					
Ritharrngu	mol	barik	rlirrbuku		yeku'		ḻirrbuku		
Thalanyji	kurluwa	ngarriwari	kulhuwi				pintha-bintha		
Thanggati	gurulgurul	badhangbadhang	girragirra						
Tharrgari	kurdu		kulhuwi						
Thaynakwith	orrow	charuwa	trelim thath						
Umpila	thungku	pulpu	pulmpanci						
Uradhi	uuma, unma[56]		rebano						
Wailwan	buluuy	balaa	girrawil		giidjan				
Wajarri	widi	bilyani	biliyarr		barala		bilybarli		
WakaWaka	woor-ru-we-a	chil-ing	gweeing	coo-na coo-na					
Wakaya	wethinngu	pernangka	thithathu	kunhthenngu				junku	
Walmajarri	kurnkurn	lapawu, parp-jarti	ngirljarti		djibil		nguwanguwa	kurtu	
Wangkajunga	maru	ngintji	yarralypa		ukiri		parna		arantji
Wangkatja	maru	ngintji	yarralypa		ukiri		parna		
Wangkayutyuru	jimpa	walpadi	karamarra	padu	pantiya			purru	
Wangkumara	murrumurru	gupa	marpamarpala	pilthi	gurkagurkara				
Wardandi	muwan	[57]	wildji-munj	wildjə-ga	bindjilang				
Warramay	dyu:lu	bambaɽa			gun.ga[58]			maɽgun	
Warlmanpa	maru, wumpur(r)ani[59]	ta(rra)warlwari	tiikwari, pulyurru-pulyurru	wirinkirri-wirinkirri	kurralywari[60]			kunjuru-kunjuru	
Warlpiri	maru	kardirri	tiri	karntawarra-karntawarra	yukiri	kunjuru-kunjuru[61]	walya-walya	layi-layi	
Warluwarra	puwarra	purna	kikaakikaa	parru	wuwalla			mikimiki	
Warnman	warrukurla[62]	rlarli	miji miji	karntawarra	warrulypa				
Warriyangga	kuparri	thurla	pulara		pirrpalhi				
Warrnambool	miyn	ngapkuyitj	kiri-kiri	punda	kumakarak	miynkaa		napipi	
Warumungu	wumpurrarni	parlarr, punuru	pulyurr-	wiringkirr wiringkirr	kuraly-	kartungkali	narra-narra	winyal winyal[63]	
Warungu	ganambirra	bambara	jalngarri	gunggugaji	gun.ga[64]				
Wathawurrung	wurrgarrabil	darn-garriyn	kurr-kurr-warriyn		gurr-gurr-warrabil	marra-narrap	djirrala-bil		
WathiWathi	nganda	yirang gadaa	wurung-urung		narin-ŋaraŋ	ngandar[65]			
Watjuk	moan	jital	wilgilang		keripkerip			jital	
WembaWemba	wurkatang	*pakuwinyawil[66]	kurrk-kurrkuk warrawil		wurəwil, wurəwurətayil	*purt-purt-warra-wil	*puny-puny-warra-wil	pulətayil	
WesternArrarnte	urrperle	irltere/tywelkere	thetheke, thithaka[68]	ntwarne/untarne	anke, therrke-therrke				
WikMungkan	ngotan	polp	wu'wu'iy[69]						
WikNgatharr	mak	chaarew	pinthenh	ngump-ngump	miip				
Wiradjuri	buudhang	barrabarra	giri-girri	guunang-guunang	gabbar-gabbar	ŋurru-mir-gaŋ			
Wirangu	maru	balgu-balgu	birndi		gaRagan				
Woiwurrung	kuyang	dharranhun	bibidhuang	babedirrin	gumang-djarrang	kor.ran.gor.rer	derril		
Wulguru	ngumbi	gunggamu	ulba	gunbili		way			
Yagara	gurun	giwere	cowan						
Yalarnnga	mukampa	puluwarra	kurrikurri	parruparru	yilhtharra			purru	
Yandruwandha	impa[70]	parlu	pirtipirti	parruparruldra	kurrkari, pulayarra, pulapulayarra,		impa	warru	
Yannhangu	mol'mulŋu	biriyanaraŋu[71]	miku	buthalakthun	warrlwaḻyana				
Yanyuwa	ngubunthurr[72]	a-bulwa (rra-)	naka						
Yarluyandi	maru		pitjirina						
Yawarrawarrka	tjimpa[73]	waru	pidipidi	barru	kudnapantjindri				
Yidiny	gijawulu	badal	wubagar	marrgamarrga	gurrumugul	wulburuny	garran	guban.guban	
Yindjibarndi	warru	jiwarra	mardamarda	biyulu	wanka	bithu	warru		arinji
Yindjilandji		moo-rah	wʊmaŋgʊ						
Yingkarta	kurdu	piilyba	thuwarri[75]						
Yinhawangka	warru/waru[76]	pirarrpa	marta-marta/marra-marra	pijulurlu	pilhu			pira	
Yirandali	booddera	kuddella	boronya						
YirYoront	kolpikolon	larrl	kolvlh 					muw	
YortaYorta	dhalanan	pet-tyaity	mawamadj						
Yugambeh	tu:ndu:n	talngai	djairi	jaragam	pujarbin	ninye:ri	tulgaytulgay		
Yugarabul	cuppee [kapi]	currarn	kutchin, godjeen						
Yulparija	maru	jurnpulpa	martarrjarra	kurrukarl	jutalypa				
Yuwaalaraay	buluuy	bangga	guwaymbarra	gidjiirr	dhurrin	yiluwidi		dhadhaal	
